tech_id,name,category,emission_reduction_rate,cost_per_unit,implementation_time_months,annual_opex_saving,compliance_requirement
B_TECH_001,Wastewater Treatment Upgrade,Compliance,0.08,25000,3,5000,True
B_TECH_002,Basic Energy Monitoring System,Monitoring,0.05,15000,2,8000,True
B_TECH_003,Boiler Efficiency Improvement,Energy,0.12,40000,4,12000,False
B_TECH_004,LED Lighting Retrofit,Energy,0.03,8000,1,6000,False
B_TECH_005,Heat Recovery System,Energy,0.1,35000,3,10000,False
B_TECH_006,Chemical Management System,Compliance,0.06,20000,2,4000,True
B_TECH_007,Air Filtration Upgrade,Compliance,0.07,30000,3,5000,True
B_TECH_008,Variable Frequency Drives,Energy,0.09,22000,2,9000,False
B_TECH_009,Water Recycling System (Basic),Resource,0.08,28000,4,7000,False
B_TECH_010,Steam System Optimization,Energy,0.11,38000,3,11000,False
